date,time_start,time_end,course
2026-02-28,11:00,12:00,beginner
2026-02-28,12:00,13:00,intermediate
2026-03-07,11:00,12:00,beginner
2026-03-07,12:00,13:00,intermediate
2026-03-14,11:00,12:00,beginner
2026-03-14,12:00,13:00,intermediate
2026-03-21,11:00,12:00,beginner
2026-03-21,12:00,13:00,intermediate
2026-04-18,11:00,12:00,beginner
2026-04-18,12:00,13:00,intermediate
2026-04-25,11:00,12:00,beginner
2026-04-25,12:00,13:00,intermediate
2026-05-09,11:00,12:00,beginner
2026-05-09,12:00,13:00,intermediate
2026-05-16,11:00,12:00,beginner
2026-05-16,12:00,13:00,intermediate
2026-06-13,11:00,12:00,mixed-levels
2026-06-20,11:00,12:00,mixed-levels
2026-06-27,11:00,12:00,mixed-levels
2026-07-04,11:00,12:00,mixed-levels
2026-07-11,11:00,12:00,ad-hoc
